gameId,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueWins
0,0,5,8,6,0,0,14536,17256,0
1,1,10,1,5,0,0,14536,17863,0
2,0,3,10,2,0,0,17409,17256,0
3,1,7,10,8,0,0,19558,18201,0
4,0,4,9,4,0,0,17409,17256,0
5,0,5,10,8,0,0,17409,19730,0
6,0,5,4,6,1,1,20038,19730,0
7,1,8,5,13,1,0,18274,18491,1
8,0,5,6,6,1,0,14536,18986,0
10,1,7,4,9,1,1,18274,18021,1
11,0,3,8,3,0,0,17409,17256,0
12,1,3,8,4,0,0,17409,17256,0
13,0,4,10,4,0,0,17409,17256,0
14,0,3,10,4,0,0,17409,17256,0
16,1,9,5,9,1,1,16544,17256,0
17,0,4,5,2,0,0,17409,17256,1
19,0,10,10,7,0,0,18274,18491,1
20,0,5,10,4,0,0,20619,17256,1
21,0,6,4,3,0,0,16961,17256,1
22,0,8,4,1,2,1,18274,18491,1
24,0,4,6,2,0,0,17409,17256,0
25,0,7,4,6,1,1,16961,18201,0
26,1,6,5,8,0,0,14536,17256,0
27,0,2,8,3,0,0,17409,17256,0
28,0,7,9,4,0,0,17409,17256,0
29,0,2,9,6,0,0,17409,17256,0
30,1,4,8,5,0,0,14536,17863,0
34,0,2,6,1,0,0,17409,17256,0
35,1,6,5,6,0,0,14536,17119,0
37,1,11,1,12,1,1,18274,18491,1
40,1,6,3,5,0,0,14536,17863,0
41,1,10,1,9,1,1,18513,18201,1
43,0,0,10,0,0,0,17409,17256,0
45,0,7,11,8,0,0,18117,20004,0
46,0,2,8,3,1,0,17381,17256,0
47,1,9,4,11,1,1,19558,18201,1
49,1,11,2,5,1,1,13519,18201,1
51,0,4,13,5,0,0,17409,17256,0
52,1,6,4,8,0,0,16961,18201,1
53,1,9,8,11,0,0,19558,18201,1
54,0,6,7,4,1,1,20619,17256,0
55,0,5,8,3,0,0,17409,17256,0
56,0,3,10,4,0,0,17409,17256,0
57,1,5,4,6,1,1,13519,18021,1
58,0,7,6,5,0,0,17409,17256,0
59,1,7,6,10,0,0,13475,17256,1
60,0,7,5,9,0,0,14536,18201,1
61,0,4,5,1,0,0,17409,17256,0
62,0,4,13,3,0,0,20619,17256,0
