iter	Passed	Remaining
0	2	2215
1	3	1883
2	5	1781
3	7	1814
4	9	1814
5	10	1807
6	12	1820
7	14	1782
8	16	1762
9	17	1729
10	19	1732
11	20	1718
12	22	1724
13	24	1735
14	26	1721
15	28	1724
16	29	1710
17	31	1696
18	33	1703
19	34	1704
20	36	1710
21	38	1710
22	40	1701
23	42	1716
24	43	1706
25	45	1705
26	46	1692
27	48	1684
28	50	1675
29	52	1685
30	53	1682
31	55	1690
32	57	1688
33	59	1688
34	60	1680
35	62	1672
36	64	1671
37	65	1664
38	67	1664
39	69	1660
40	70	1652
41	72	1663
42	74	1667
43	76	1663
44	78	1658
45	80	1662
46	82	1672
47	84	1671
48	86	1681
49	88	1675
50	90	1675
51	91	1669
52	93	1663
53	94	1662
54	96	1657
55	98	1659
56	100	1663
57	102	1656
58	103	1651
59	105	1645
60	106	1641
61	108	1641
62	110	1636
63	111	1637
64	113	1636
65	115	1637
66	117	1632
67	118	1628
68	120	1631
69	122	1630
70	125	1642
71	127	1642
72	129	1643
73	131	1640
74	132	1636
75	134	1633
76	136	1635
77	138	1642
78	141	1644
79	143	1646
80	145	1648
81	147	1650
82	149	1651
83	151	1651
84	153	1656
85	157	1674
86	159	1674
87	161	1671
88	162	1666
89	164	1661
90	165	1657
91	168	1659
92	170	1659
93	171	1656
94	174	1658
95	175	1656
96	177	1654
97	179	1653
98	181	1648
99	182	1646
100	184	1644
101	187	1647
102	189	1649
103	190	1645
104	192	1642
105	194	1643
106	196	1643
107	198	1640
108	200	1641
109	202	1642
110	205	1643
111	207	1641
112	208	1640
113	210	1637
114	212	1634
115	215	1641
116	217	1640
117	219	1640
118	221	1637
119	223	1636
120	224	1632
121	226	1629
122	228	1631
123	230	1627
124	232	1630
125	234	1629
126	236	1627
127	238	1623
128	240	1620
129	241	1618
130	243	1615
131	245	1614
132	247	1612
133	249	1610
134	250	1607
135	252	1603
136	254	1602
137	255	1598
138	257	1597
139	260	1598
140	262	1599
141	264	1597
142	266	1594
143	267	1591
144	269	1591
145	272	1595
146	274	1592
147	276	1594
148	278	1592
149	280	1589
150	282	1588
151	284	1586
152	286	1583
153	288	1583
154	291	1588
155	294	1594
156	296	1592
157	298	1588
158	299	1585
159	301	1582
160	303	1580
161	304	1577
162	306	1576
163	308	1574
164	310	1571
165	312	1570
166	314	1568
167	317	1570
168	318	1568
169	321	1570
170	324	1574
171	326	1573
172	328	1571
173	330	1570
174	332	1567
175	334	1564
176	336	1564
177	338	1564
178	341	1564
179	342	1562
180	344	1560
181	346	1558
182	348	1556
183	350	1555
184	353	1556
185	355	1554
186	357	1552
187	358	1549
188	360	1548
189	362	1545
190	364	1543
191	366	1542
192	368	1539
193	370	1537
194	371	1534
195	373	1531
196	375	1528
197	376	1525
198	378	1522
199	379	1518
200	381	1515
201	383	1516
202	386	1515
203	388	1514
204	389	1510
205	391	1507
206	392	1504
207	394	1500
208	395	1498
209	397	1496
210	399	1495
211	401	1494
212	404	1493
213	405	1490
214	407	1487
215	409	1486
216	411	1483
217	412	1481
218	414	1479
219	416	1476
220	418	1473
221	419	1471
222	421	1468
223	422	1465
224	425	1463
225	427	1465
226	430	1464
227	432	1463
228	433	1460
229	435	1458
230	437	1456
231	439	1456
232	441	1453
233	443	1452
234	445	1450
235	447	1447
236	449	1445
237	450	1442
238	452	1440
239	454	1439
240	456	1436
241	458	1436
242	460	1435
243	462	1434
244	464	1431
245	466	1428
246	468	1427
247	470	1426
248	472	1425
249	474	1422
250	476	1421
251	478	1419
252	479	1417
253	481	1414
254	483	1412
255	485	1409
256	486	1406
257	488	1404
258	489	1401
259	491	1399
260	493	1397
261	495	1395
262	497	1393
263	499	1391
264	500	1388
265	502	1387
266	504	1384
267	506	1382
268	507	1379
269	509	1377
270	511	1376
271	513	1375
272	515	1372
